id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port578,port,Kisarazu Ko_Japan,JPN,AS,POINT (139.86810777050732 35.359021465146704),Panama,25786786.242394015,22075.67620023462,34617986.584533095,49176.74439856829,60404772.82692711,71252.42059880291
port581,port,Kobe_Japan,JPN,AS,POINT (135.22932705230667 34.67293988896983),Panama,2335254874.5967865,336827.70507479325,437162116.6627699,1029554.606154492,2772416991.2595563,1366382.3112292853
port738,port,Mikawa_Japan,JPN,AS,POINT (137.29090932614704 34.73606977250664),Panama,11732103093.753117,814446.3281768563,232199695.26263392,303297.68006943434,11964302789.01575,1117744.0082462905
port752,port,Mizushima Ko_Japan,JPN,AS,POINT (133.72429241724208 34.50033450640207),Panama,79379604.21037865,39779.67452516429,13741234.177713826,4659.534868889933,93120838.38809247,44439.209394054225
port786,port,Nagoya Ko_Japan,JPN,AS,POINT (136.85007840303058 35.036185434847944),Panama,725485237.511385,179253.7521896506,745123107.5215652,1522178.655609985,1470608345.0329502,1701432.4077996358
port850,port,Onahama Ko_Japan,JPN,AS,POINT (140.88352412310928 36.93593682767061),Panama,51570.786930377,2.076226163456084,16071010.459642837,26842.082517544615,16122581.246573213,26844.15874370807
port862,port,Osaka_Japan,JPN,AS,POINT (135.43002624041546 34.644930603547984),Panama,44695232.02501239,13870.320575173053,353123302.81612474,1208359.1721330443,397818534.8411371,1222229.4927082174
port1128,port,Sakai-Senboku_Japan,JPN,AS,POINT (135.42238149129432 34.55784019671662),Panama,304187093.23638636,371588.39843227714,288611110.3748618,1024181.0885757715,592798203.6112481,1395769.4870080487
port1304,port,Tokuyama_Japan,JPN,AS,POINT (131.78288676809268 34.03990671128202),Panama,6595947.2896417705,2741.284276040235,955532.327273905,431.15290228810943,7551479.616915676,3172.4371783283445
port1305,port,Tokyo Ko_Japan,JPN,AS,POINT (139.79257807484336 35.606071135583385),Panama,7905158169.417667,2532841.7734469865,4104755528.0579944,10659058.779684324,12009913697.475662,13191900.55313131
port1308,port,Tomakomai Ko_Japan,JPN,AS,POINT (141.72312896658843 42.637521854624524),Panama,143010351.9788765,34609.79205342999,79039238.01083434,112088.11133542634,222049589.98971084,146697.90338885633
port1378,port,Wakamatsu Ko_Japan,JPN,AS,POINT (130.81263360579425 33.91060335023822),Panama,4612171.564356789,2002.4191067768913,10499.440646059984,162.92306087622103,4622671.005002849,2165.3421676531125
port1379,port,Wakayama-Shimotsu Ko_Japan,JPN,AS,POINT (135.13348941634422 34.18417972507268),Panama,17388450.861477062,7440.033764698695,1219599.1844704982,1298.0737749924679,18608050.04594756,8738.107539691164
port1416,port,Yokkaichi_Japan,JPN,AS,POINT (136.65630831194952 34.97134904117626),Panama,165175.55937164385,38.39562657289071,1140680826.6748254,879677.9162225148,1140846002.2341971,879716.3118490877
port1417,port,Yokohama Ko_Japan,JPN,AS,POINT (139.6688122927324 35.427555533441485),Panama,13223481718.545628,2744877.7063400364,5763358537.180509,16827825.740344115,18986840255.726135,19572703.446684152
